	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
0	Luyando haamwala	953680771981697024	5	8	6	Ministry of health has created a bank account for donations to fight the outbreak of cholera  #cholerawatch	2018-01-17 17:29:49	/Luluhamz/status/953680771981697025	Luluhamz	0.0
1	Thomas Kalimanshi	953646909406760960	0	0	0	Regulate is a product in South Africa that deals with IBS and might just be what we need to help fight #CholeraWatch.	2018-01-17 15:15:15	/TKalimanshi/status/953646909406760961	TKalimanshi	0.0
2	ACA	953636162702397440	2	0	0	"Help Beat Cholera! the easy way!!  
#ZedVsCholera #GetInvolved #CholeraWatch 

You can easily support... https://fb.me/5u98zQDvS "	2018-01-17 14:32:33	/ZambiaAsks/status/953636162702397440	ZambiaAsks	0.5552083333333334
3	iam_rj	953590723416268800	0	0	0	Dear UK Government @Number10gov please admit that that this deadly diarrhoea vomiting sickness is #cholera #CholeraWatch pic.twitter.com/3q46L2k8pY	2018-01-17 11:31:59	/iam_RJMw/status/953590723416268806	iam_RJMw	-0.2
4	WELCOME TO ZAMBIA	953585805552955392	1	1	1	ati twalamikanda...#Zambia #CholeraWatch	2018-01-17 11:12:27	/Paul_Chibamba/status/953585805552955394	Paul_Chibamba	0.0
5	Innocent Siachitoba	953573716335693824	0	0	0	Very good question...#CholeraWatch ...We will wait for a response from Hon.@VincentMwale .Otherwise, mwasebeza bwino on #cholera preventionhttps://twitter.com/karen_nakawala/status/950421812776665088 …	2018-01-17 10:24:25	/siachitoba/status/953573716335693825	siachitoba	0.9099999999999999
6	Chalimba Phiri	953567216087203840	4	0	0	Enough of these donations, let's just all do our part by cleaning and taking care of our homes and surroundings #Hygiene #CholeraWatch	2018-01-17 09:58:35	/ChaliPhiri/status/953567216087203840	ChaliPhiri	0.0
7	Mwebantu	953566184858845184	79	1	11	#ZAMBIA: MEDIA personality, @MutaleMwanza has decided to pay it forward by donating 20 cases of Chlorine. The donated Chlorine will be handed over to affected households in the Cholera epicenters. #EndCholera #CholeraWatch pic.twitter.com/weRWUqvXqy	2018-01-17 09:54:29	/Mwebantu/status/953566184858845186	Mwebantu	0.0
8	KwachaManje	953560491636477952	1	0	1	"#ZambianBreweries donates over K2.5 million of a wide range of items in support of Government’s efforts to contain the outbreak of #cholera. http://ow.ly/gaQP30hPqux 
#CleaningLusaka #wastemanagement #BeTheChange #ManjaPamodzi #PickDropCare #CholeraWatch #Zambia"	2018-01-17 09:31:52	/KwachaManje/status/953560491636477952	KwachaManje	-0.1
9	Langmead & Baker	953560491238088704	1	0	0	"#ZambianBreweries donates over K2.5 million of a wide range of items in support of Government’s efforts to contain the outbreak of #cholera. http://ow.ly/gaQP30hPqux 
#CleaningLusaka #wastemanagement #BeTheChange #ManjaPamodzi #PickDropCare #CholeraWatch #Zambia"	2018-01-17 09:31:52	/LBComms/status/953560491238088704	LBComms	-0.1
10	MissBwalya	953537445114544128	2	0	0	@lwangamwilu @geshgroove Come and collect your auntie. #CholeraWatch pic.twitter.com/M8ZCftDK8p	2018-01-17 08:00:17	/missbwalya/status/953537445114544128	missbwalya	0.0
11	John Sears	953420109913128960	0	0	0	"""...used a handful of satellites to monitor temperatures, water storage, precipitation and land around the country. By processing that information in algorithms they developed, the team predicted areas most at risk for an outbreak over the upcoming month."" #CholeraWatch https://twitter.com/gavi/status/952488023576530945 …"	2018-01-17 00:14:02	/JohnSears2077/status/953420109913128960	JohnSears2077	0.3
12	Yvonne Chona	953280100870615040	1	0	1	"Some of this stuff these shop keepers are using to ""sanitize"" our hands in not convincing! Mmmh...#CholeraWatch"	2018-01-16 14:57:41	/YvoChona/status/953280100870615041	YvoChona	-0.3125
13	Longa Valentine S	953279394952474624	0	0	0	@VincentMwale #CholeraWatch #zambiapic.twitter.com/s6CDLXalsP	2018-01-16 14:54:53	/ValentineLonga/status/953279394952474624	ValentineLonga	0.0
14	Likumbi Kapihya	953259380056776704	1	1	0	Greater demand for the chlorine should have been balanced with public health concerns. But free market...blah, blah.  #CholeraWatch https://twitter.com/lusakatimes/status/953251758263996417 …	2018-01-16 13:35:21	/MsKapihya/status/953259380056776705	MsKapihya	0.3
15	Eltrendz	953217365956857856	0	0	0	"Zambia starts week of prayer and fasting against cholera http://www.eltrendz.com/2018/01/16/zambia-starts-week-of-prayer-and-fasting-against-cholera/ …
#Fasting #Zambia #CholeraWatch #cholera"	2018-01-16 10:48:24	/eltrendz/status/953217365956857856	eltrendz	0.0
16	Pro Health	953206247851024384	0	0	0	"Government has tightened border controls and mobilised resources following heightened fears of a possible cholera outbreak.
#CholeraWatch #HealthNews
http://herald.co.zw/?s=cholera&sub …"	2018-01-16 10:04:13	/prohealth_zw/status/953206247851024384	prohealth_zw	0.0
17	Tweetography	953156758318534656	4	1	2	We should have a law which forbids the use of arms on citizens, especially the unarmed. This is State Terror. #Zambia #CholeraWatch	2018-01-16 06:47:34	/chr779/status/953156758318534656	chr779	0.0
18	Michelo Simuyandi	953137475312025600	1	0	0	WHO says high cholera risk in DRC capital https://www.news24.com/Africa/News/who-says-high-cholera-risk-in-drc-capital-20180116 … via @News24 #CholeraWatch	2018-01-16 05:30:57	/bwantu/status/953137475312025601	bwantu	0.16
19	Microbes&Infection	953110722170400768	11	0	11	"WHO said there was a high risk of a #cholera epidemic after flooding in Kinshasa, the capital of the Democratic Republic of Congo

https://citizen.co.za/news/news-africa/1783712/rdcongo-sante-epidemie-cholera-oms/ … #CholeraWatch pic.twitter.com/i0v31wGo9f"	2018-01-16 03:44:38	/MicrobesInfect/status/953110722170400769	MicrobesInfect	0.16
20	teta  vundamina	950510821087547392	0	0	0	A huge thank you to everyone making posts about the #CholeraWatch.The marketeers and the street vendors will be thrilled to hear our groundbreaking tweets. BOTTOMlINE! is our cyber opinions don't mean shit. Go and share your tweets to the people of kanyama pic.twitter.com/FjYOV80oBv	2018-01-08 23:33:34	/teta_stone/status/950510821087547392	teta_stone	0.15937500000000004
21	Maluba mulebi  🇿🇲	950488462725140480	42	3	4	These days even after touching money I wash my hands,  always.  #CholeraWatch #cholera	2018-01-08 22:04:43	/maluba96/status/950488462725140482	maluba96	0.5
22	ToiletYanga Ltd	950464283590189056	1	0	0	#CholeraWatch https://twitter.com/WSSCCouncil/status/950347809257086976 …	2018-01-08 20:28:38	/toiletyanga/status/950464283590189061	toiletyanga	0.0
23	Chrisy Kado	950454181156007936	0	0	0	#CholeraWatch	2018-01-08 19:48:30	/ChrisyKado/status/950454181156007938	ChrisyKado	0.0
24	Erasmus Mweene	950447655406198784	0	0	1	These fake messages have a way of making rounds on WhatsApp. #CholeraWatch pic.twitter.com/PQ8WPFIvwP	2018-01-08 19:22:34	/ErasmusMweene/status/950447655406198784	ErasmusMweene	-0.5
25	Bwalya Chola Greenwell	950444652775313408	1	0	0	So all along they has been a #Cholera  vaccine and this is when the govt is starting to administer After losing hundreds of valuable lives . #CholeraWatch	2018-01-08 19:10:38	/cheeldawg/status/950444652775313408	cheeldawg	0.0
26	#PSYBaby!!!	950439879644798976	2	0	1	People locking their Doors cause Cholera is outside. #CholeraWatch #ZambiasWalkingDead	2018-01-08 18:51:40	/PsyBabyOfficial/status/950439879644798977	PsyBabyOfficial	0.0
27	Haseena	950436031760863232	1	1	0	"Doxcycline treats different bacteria like gonorrehea, clamydia...like guys we can't just be buying this drug over the counter! We all afraid but i urge people NOT too...
#CholeraWatch"	2018-01-08 18:36:22	/ms_mukonde/status/950436031760863232	ms_mukonde	-0.3
28	Aka Nasilele	950435703598538752	1	0	3	Why do we always have to wait until things worsen? Honestly speaking our mentality should change #CholeraWatch	2018-01-08 18:35:04	/akanasilele/status/950435703598538756	akanasilele	0.6
29	Miss Tee	950435315189207040	0	1	0	"Sorry
These times are hard
#CholeraWatch"	2018-01-08 18:33:32	/the_druggist_16/status/950435315189207041	the_druggist_16	-0.39583333333333337
30	Haseena	950432483220258816	0	0	0	"What if i told you Doxycycline reduces the RISK of cholera, it doesn't prevent cholera. Would you believe me? Read before taking peoples advice.

#CholeraWatch"	2018-01-08 18:22:16	/ms_mukonde/status/950432483220258816	ms_mukonde	0.0
31	Luyando haamwala	950432311882993664	1	3	0	I totally agree, I just had an episode of its side effects and I advise people not to self prescribe #CholeraWatch https://twitter.com/ms_mukonde/status/950429383243726849 …	2018-01-08 18:21:35	/Luluhamz/status/950432311882993665	Luluhamz	0.0
32	Haseena	950431426771595264	6	4	4	Doxycycline is a very strong antibiotic. i encourage people to read on. #CholeraWatch	2018-01-08 18:18:04	/ms_mukonde/status/950431426771595266	ms_mukonde	0.5633333333333334
33	Haseena	950430052134645760	0	0	0	will be reading some of your tweets soon... #RadioAfter6 #CholeraWatch	2018-01-08 18:12:37	/ms_mukonde/status/950430052134645762	ms_mukonde	0.0
34	Haseena	950429383243726848	13	1	9	Doxycycline is not advisable to buy over the counter as if you have allergies or certain health issues(taking blood thiners, kidney/liver issues,pressure in your skull etc..) you need to see a doc. It has some side effects as well #CholeraWatch https://twitter.com/Chaingaz/status/948853809052377088 …	2018-01-08 18:09:57	/ms_mukonde/status/950429383243726849	ms_mukonde	0.21428571428571427
35	Black Bruce Wayne	950429027948531712	1	0	0	I wonder why the same clean up happening in Lusaka isn't happening in other towns..  #CholeraWatch	2018-01-08 18:08:33	/GrizzlyBearXO/status/950429027948531713	GrizzlyBearXO	0.08055555555555556
36	Young King 👑	950425746375356416	3	0	2	"I pray against Cholera, join the chain and post this on every social media Platform...
Together with GOD on our side, we can fight this ..  #PrayForZambia #CholeraWatch"	2018-01-08 17:55:30	/JustineLungu/status/950425746375356416	JustineLungu	0.03333333333333333
37	Erasmus Mweene	950425719171108864	0	0	4	"Something gotta give. In the last 24 hours, recorded 108 new cholera cases with one Brought-in-Dead (BID) bringing total number of cases recorded since the outbreak started in October 2017 to 2,673.
#Cholera #CholeraWatch"	2018-01-08 17:55:24	/ErasmusMweene/status/950425719171108864	ErasmusMweene	0.04545454545454545
38	Isaac McKatney	950422540333219840	1	0	0	This has left a lot of people lost in mixed feelings and opinions on how best to handle this. Either way, if you can help, do your part.  #CholeraWatch	2018-01-08 17:42:46	/isaackatney/status/950422540333219842	isaackatney	0.3333333333333333
39	Karen Nakawala	950421812776665088	5	1	2	I can smell the fresh air just by looking at this picture. Well done. I have one question for you @VincentMwale , once the epidemic is contained will the vendors be allowed back on the streets or are there measures in place to deter them? #CholeraWatch pic.twitter.com/MHxykXRJDL	2018-01-08 17:39:52	/karen_nakawala/status/950421812776665088	karen_nakawala	0.15
40	Patrick Hill	950421694224748544	0	0	1	Are you also able to comment on why those passing by the clean up are being forced to carry litter into garbage truck ? ...exposes more people to the disease! #CholeraWatch	2018-01-08 17:39:24	/patr1ckph1r1/status/950421694224748546	patr1ckph1r1	0.29791666666666666
41	CHIMWEMWE KHUNGA	950417320278659072	0	0	0	"Hon. @VincentMwale I need to understand this...epicenter and non epicenter gatherings. Don’t you think that gatherings in nearby non epicenter areas would also give rise to the problem at hand?
#Zambia
#CholeraWatch"	2018-01-08 17:22:01	/Eng_Khunga/status/950417320278659072	Eng_Khunga	0.0
42	Mwebantu	950414377412452352	30	11	56	"#ZAMBIA has in the last 24 hours recorded 108 new cholera cases with one Brought-in-Dead (BID). Today's latest figures brings the total number of cases recorded since the outbreak started in October last year to 2,673.
#CholeraWatch

(PICTURE: File) pic.twitter.com/3r3tRmk1cP"	2018-01-08 17:10:20	/Mwebantu/status/950414377412452352	Mwebantu	0.12727272727272726
43	Patrick Hill	950414058624299008	1	1	0	Yesterday you mentioned that k64 million was released from Ministry of finance to MOH in response to #cholerawatch. Could you provide a break down of how the funds were allocated & used ?	2018-01-08 17:09:04	/patr1ckph1r1/status/950414058624299008	patr1ckph1r1	-0.15555555555555559
44	Suwilanji Siame	950410009225121792	17	2	7	#CholeraWatch It's disappointing how chemists are taking advantage of the Cholera situation to hike the price of hand sanitizer. They should lower the price in an effort to have more people access it. Businesses are closed and people are hardly making money. So not fair!	2018-01-08 16:52:58	/Suwilanji1/status/950410009225121792	Suwilanji1	-0.18583333333333335
45	Shona 💞	950402839465033728	2	0	0	"The way I am craving cake from my favorite store
Can we please continue with this hygiene thing so cake ventures will never be interrupted again?? 
#CholeraWatch #Cholera #Zambia"	2018-01-08 16:24:29	/HopeChilinda/status/950402839465033728	HopeChilinda	0.5
46	Chipochedu	950399829246664704	1	0	0	After the clean up in our area (Northmead) mosquitos have reduced. Tuli ba fiko fye mwe.... #CholeraWatch	2018-01-08 16:12:31	/Chipochedu/status/950399829246664705	Chipochedu	0.3666666666666667
47	Thee_last_OG	950399248855699456	0	0	0	Cause cholera after 19hours turns it up a notch..... #CholeraWatch pic.twitter.com/nYJkuMMwGw	2018-01-08 16:10:13	/Thee_Last_OG/status/950399248855699458	Thee_Last_OG	0.0
48	Chilufya	950396270270705664	10	1	10	"Lusaka cairo road before street vending. Can we achieve this?
#Zambia #CholeraWatch
#SipsAcidpic.twitter.com/j8QiKChpfA"	2018-01-08 15:58:22	/Psalmist115/status/950396270270705665	Psalmist115	0.0
49	Mr. Justin Mukatuka	950395891562827776	2	0	0	#CholeraWatch pic.twitter.com/eSQcJ2qEog	2018-01-08 15:56:52	/mukatuka_justin/status/950395891562827776	mukatuka_justin	0.0
50	CHIMWEMWE KHUNGA	950373220007530496	3	0	0	"Ironic.... but every sound of an Ambulance   makes me think of Cholera. 
#zambia
#CholeraWatch
#cholera"	2018-01-08 14:26:47	/Eng_Khunga/status/950373220007530496	Eng_Khunga	0.30000000000000004
