	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
0	Kathleen McKinney	938558672342482944	0	0	0	This is awful. Poor ppl. Need to find out more. But I bet Russians are behind it. And it will end up as Trump’s excuse to cut ties w Cubs & prevent US citz from going there. https://twitter.com/nytnational/status/938544094539853824 …	2017-12-06 23:59:59	/Kath_Mckinney/status/938558672342482944	Kath_Mckinney	-0.26999999999999996
1	Cupcake's News	938558671847673856	0	0	0	"► De “histórico” califica Netanyahu la declaración de Trump sobre Jerusalén
 
http://bit.ly/2ksjIsa pic.twitter.com/V2f80PETZy"	2017-12-06 23:59:59	/Cupcakes_News/status/938558671847673856	Cupcakes_News	0.0
2	But Her Emails!	938558670950060032	0	0	0	But her emails!!!!!!!!!!!!!!!!!!!!!! #ButHerEmails #Comey #Clinton #Trump	2017-12-06 23:59:59	/butheremailsbot/status/938558670950060032	butheremailsbot	0.0
3	Ryan Bennett	938558669947572224	0	0	0	Brexit complete.Trump 2nd term.Not 4 words but better than the liberal white noise you're spewing	2017-12-06 23:59:59	/RiperrSB/status/938558669947572224	RiperrSB	0.16666666666666666
4	kyle J.	938558669633007616	0	0	0	Don’t resign until Trump does. https://twitter.com/senfranken/status/938546524283461632 …	2017-12-06 23:59:59	/Kyle_Jennings33/status/938558669633007616	Kyle_Jennings33	0.0
5	Frontera 7 Días	938558668869599232	0	0	0	Trump reconoce a Jerusalén como capital de Israel y los líderes mundiales condenan su… http://www.frontera7dias.com.ve/2017/12/06/trump-reconoce-jerusalen-capital-israel-los-lideres-mundiales-condenan-decision/ …pic.twitter.com/03KOqX4xHK	2017-12-06 23:59:58	/Frontera7dias/status/938558668869599233	Frontera7dias	0.0
6	bangolure	938558668542529536	0	0	0	This also a true statement. All the others did is use in their campaign, It got voted on in the 90's and was postponed.And then every year after that it was postponed again. So it came up again and Trump did what had already been voted on & put it into effect. https://twitter.com/Pink_About_it/status/938455616850456579 …	2017-12-06 23:59:58	/bangolure/status/938558668542529536	bangolure	0.35
7	Greg	938558666734735360	1	0	1	Bullshit!! This is his Dems lose—trying to be pc n bringing a knife to a gunfight. Trump isn’t resigning n Moore’s still running n u want to dump franken?  Even Bernie is on this bs train that got started w a conservative talk show host.	2017-12-06 23:59:58	/gawilson81/status/938558666734735361	gawilson81	0.0
8	Devan	938558666004946944	0	1	0	Exactly. Clinton was held held accountable and impeached. Now it's time for trump's impeachment.	2017-12-06 23:59:58	/MssAnthrope/status/938558666004946944	MssAnthrope	0.25
9	Denver Middle East	938558665874739200	0	0	0	Trump Urges Saudi Arabia to End Blockade of Goods into Yemen https://nyti.ms/2nxDJi9 	2017-12-06 23:59:58	/MiddleEastDU/status/938558665874739200	MiddleEastDU	0.0
